run,group,largest_update,population,genotypes,total_weighted_instructions,instruction_symbol,instruction_name,weighted_count,proportion,detail_spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,a,nop-B,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,b,nop-C,16431,0.9722485207100592,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,c,if-n-equ,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,d,if-less,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,e,if-not-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,f,if-les-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,g,if-grt-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,h,if-label,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,i,zero,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,j,inc,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,k,dec,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,l,push,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,m,pop,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,n,swap-stk,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,o,swap,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,p,add,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,q,sub,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,r,nand,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,s,repro,400,0.023668639053254437,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,t,repro-semel,69,0.004082840236686391,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,u,move,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,v,rotate-left-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,w,rotate-right-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,x,sense-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_1,ecology_test_1_fast,0,169,2,16900,y,sense-faced-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_1/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,a,nop-B,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,b,nop-C,16530,0.9723529411764706,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,c,if-n-equ,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,d,if-less,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,e,if-not-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,f,if-les-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,g,if-grt-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,h,if-label,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,i,zero,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,j,inc,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,k,dec,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,l,push,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,m,pop,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,n,swap-stk,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,o,swap,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,p,add,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
ecology_test_1_fast_run_2,ecology_test_1_fast,0,170,2,17000,q,sub,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_2/data/detail-0.spop
